GDELT Query,Article Language,Article Country,Article Date Original,Article Title,Article URL,original_language,By_Excel,By_LLM,Filter_Source,Excel_Match,LLM_Classification
platform workers,Chinese,China,20230901T133000Z,_ News channel _ Chinanet,https://news.china.com/zw/news/13000776/20230901/45384477.html,zh,False,True,LLM,,MAYBE
platform workers,Chinese,China,20230901T113000Z,I've been working for a long time. I've got new rules for delivery and legal aid. - Equity.,https://www.workercn.cn/c/2023-09-01/7966386.shtml,zh,False,True,LLM,,MAYBE
platform workers,Chinese,China,20230901T154500Z,Who's watching the new industry?,https://www.donews.com/article/detail/5132/59623.html,zh,False,True,LLM,,MAYBE
platform workers,Italian,Italy,20230901T231500Z,A flop the platform path: only 8 thousand questions on 140 thousand,https://ilmanifesto.it/un-flop-il-via-della-piattaforma-solo-8-mila-domande-su-140mila,it,False,True,LLM,,MAYBE
platform workers,Chinese,China,20230901T090000Z,"From now on, you'll have to pay your contributions. Sichuan online.",https://focus.scol.com.cn/zgsz/202309/58964591.html,zh,False,True,LLM,,MAYBE
couriers AND (protest OR strike OR demonstration OR rally),Portuguese,Brazil,20230901T163000Z,"No deal, app drivers announce strike all over Brazil on September 12",https://www.guiamuriae.com.br/noticias/brasil/sem-acordo-motoristas-de-aplicativos-anunciam-greve-em-todo-o-brasil-no-dia-12-de-setembro/,pt,True,False,Excel,Actions: strike; Actors: drivers,NO
food delivery,English,United States,20230901T061500Z,Small group of Ryder drivers join Teamsters,https://www.ccjdigital.com/workforce/article/15546226/small-group-of-ryder-drivers-join-teamsters,en,False,True,LLM,,MAYBE
food delivery,Spanish,Venezuela,20230901T133000Z,Corresponsibility and Training Bonus of US $231 covers only 46% of the Food basket -,https://confirmado.com.ve/bono-de-corresponsabilidad-y-formacion-de-us231-cubre-solo-el-46-de-la-canasta-alimentaria/,es,False,True,LLM,,MAYBE
food delivery,English,United States,20230901T220000Z,"Americans are talking about labor issues , unions more now than in recent past , experts say",http://www.thebostonpilot.com/article.php?ID=195475,en,True,False,Excel,"Actions: sue; Actors: labor, union",NO
worker protest,Spanish,Venezuela,20230901T171500Z,Workers at El Tocuyo Hospital claim payment of food bonus,https://www.lapatilla.com/2023/09/01/trabajadores-del-hospital-de-el-tocuyo/,es,True,False,Excel,Actions: pay; Actors: Workers,NO
worker protest,English,United States,20230901T190000Z,Opinion : Taking the right path,https://www.idahostatejournal.com/freeaccess/opinion-taking-the-right-path/article_0bff54b8-48dc-11ee-aa3c-b70ae08e7a69.html,en,False,True,LLM,,MAYBE
worker protest,Croatian,Croatia,20230901T111500Z,Union Season – Novosti Portal,https://www.portalnovosti.com/sindikalna-sezona,hr,False,True,LLM,,MAYBE
worker protest,Arabic,Bahrain,20230901T053000Z,In Bahrain... The right of workers is not lost.,https://www.albiladpress.com/news/2023/5435/bahrain/824479.html,ar,False,True,LLM,,MAYBE
worker protest,Spanish,Venezuela,20230901T034500Z,(FOTOS and VIDEO) Protest in front of the Office of the Ombudsman (part two),https://www.aporrea.org/actualidad/n385830.html,es,False,True,LLM,,MAYBE
worker protest,English,United States,20230901T044500Z,Taos nursing home staff protests working conditions,https://www.santafenewmexican.com/news/local_news/taos-nursing-home-staff-protests-working-conditions/article_61ab25e2-4812-11ee-bde8-ffc0bd2b846a.html,en,True,False,Excel,"Actions: protest, working conditions; Actors: staff",NO
worker protest,English,Nigeria,20230901T204500Z,Subsidy removal : NLC to begin warning strike September 5,https://tribuneonlineng.com/subsidy-removal-nlc-to-begin-warning-strike-september-5/,en,False,True,LLM,,MAYBE
Just Eat (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),English,United States,20230901T160000Z,South Carolina : Restaurant closes doors citing labor issues,https://www.wyff4.com/article/restaurant-closing-closed-labor-catering-augusta/44975133,en,True,False,Excel,Actions: sue; Actors: labor,NO
Just Eat (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Bengali,Bangladesh,20230901T190000Z,We fight until democracy comes back,https://dailyinqilab.com/national/article/599406,bn,False,True,LLM,,MAYBE
Just Eat (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),English,United States,20230901T211500Z,Workers at Powell City of Books Are Officially Going on Strike !,https://www.themarysue.com/workers-at-powells-city-of-books-are-officially-going-on-strike/,en,True,False,Excel,Actions: Strike; Actors: Workers,NO
Just Eat (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),English,United States,20230901T154500Z,Inside Voices : A Hunger Strike Was His Last Resort . Now He Cant Walk On His Own .,https://washingtoncitypaper.com/article/621973/inside-voices-a-hunger-strike-was-his-last-resort-now-he-cant-walk-on-his-own/,en,False,True,LLM,,MAYBE
Baidu (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Chinese,China,20230901T113000Z,We'll see you on Wall Street.,https://wallstreetcn.com/articles/3696974,zh,False,True,LLM,,MAYBE
Baidu (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Chinese,China,20230901T140000Z,"I'm talking about the APP challenge to Aunt Tunnel! We can't win, we can't win.",https://tech.ifeng.com/c/8Sj4euxxbG6,zh,False,True,LLM,,MAYBE
Grab  (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Spanish,Argentina,20230901T051500Z,"Uber's strategies, from Costa Rica",https://www.lagaceta.com.ar/nota/1004664/politica/estrategias-uber-desde-costa-rica.html,es,False,True,LLM,,MAYBE
Grab  (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Vietnamese,Vietnam,20230901T040000Z,Generous Billionaire Donates 26.5 Billion but Refuses Employee Raises: A Convincing Explanation,https://www.webtretho.com/f/ngam-chuyen-doi/ty-phu-hao-phong-tu-thien-265-ty-nhung-quyet-khong-tang-luong-nhan-vien-giai-thich-qua-thuyet-phuc,vi,False,True,LLM,,MAYBE
Grab  (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Vietnamese,Vietnam,20230901T023000Z,Dolphin Door Fines Workers for Unapproved Late Arrivals,https://laodong.vn/ban-doc/cong-ty-dolphin-door-phat-tru-tien-nguoi-lao-dong-di-muon-sai-quy-dinh-1236056.ldo,vi,False,True,LLM,,MAYBE
Grab  (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Chinese,China,20230901T164500Z,Labour Newsletter: A strike triggered by workers' salary arrears by Shunbong Science and Technology Co. Ltd. (vii),https://www.rfa.org/mandarin/zhuanlan/laogongtongxun/hdf-09012023091503.html,zh,True,False,Excel,"Actions: strike; Actors: Labour, workers",NO
Grab  (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Vietnamese,Vietnam,20230901T033000Z,Limiting One-Time Social Insurance Withdrawals: Considering Workers' Risks,https://nld.com.vn/cong-doan/han-che-rut-bhxh-mot-lan-nen-tinh-den-rui-ro-cua-nguoi-lao-dong-20230901090329923.htm,vi,False,True,LLM,,MAYBE
food delivery (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),English,India,20230901T034500Z,MSME growth needs to come to the rescue of gig workers,https://www.moneycontrol.com/news/opinion/msme-growth-needs-to-come-to-the-rescue-of-gig-workers-11292911.html,en,False,True,LLM,,MAYBE
Drivers (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Spanish,Mexico,20230902T000000Z,Alcalde Carlos Peña Ortiz Constance to Fifth Wheel Operators,https://enlineadirecta.info/2023/09/01/entrega-alcalde-carlos-pena-ortiz-constancias-a-operadores-de-quinta-rueda/,es,False,True,LLM,,MAYBE
Drivers (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Spanish,United States,20230901T150000Z,Extra Diary - With a call to peace they fire motorcyclist,https://www.diarioextra.com/Noticia/detalle/503934/con-llamado-a-la-paz-despiden-a-motociclista,es,False,True,LLM,,MAYBE
App workers (protest OR strike OR demonstration OR unrest OR riders OR couriers OR drivers OR workers),English,,20230901T103000Z,Is Your Job  Quiet Cutting  You ? What To Watch Out For,https://www.huffpost.com/entry/quiet-cutting-job_l_64ef70c9e4b002c03645ec30,en,False,True,LLM,,MAYBE
App workers (protest OR strike OR demonstration OR unrest OR riders OR couriers OR drivers OR workers),English,Vietnam,20230901T120000Z,Starting work out – Talk Vietnam,https://www.talkvietnam.com/tag/starting-work-out/,en,False,True,LLM,,MAYBE
Uber,English,South Africa,20230902T114500Z,Uber,https://www.africa.com/uber-launches-electric-boda-in-kenya-offering-drivers-approximately-30-35-reduction-in-running-costs/,en,False,True,LLM,,MAYBE
Uber,English,United States,20230902T224500Z,"This is a moment for worker : Service employees march for better pay , working conditions",https://www.bostonglobe.com/2023/09/02/metro/this-is-moment-workers-service-employees-march-better-pay-working-conditions/,en,True,False,Excel,"Actions: march, pay, working conditions; Actors: employees",NO
Uber,English,Poland,20230902T223000Z,Uber in Poland - illegal,https://polishforums.com/law/poland-uber-illegal-81932/,en,False,True,LLM,,MAYBE
Just Eat,Chinese,China,20230903T000000Z,"Breaking the rules, breaking the rings, breaking the bounds, moving the heat, not just for the summer season.",http://news.cyol.com/gb/articles/2023-09/03/content_pQNq6bHYBE.html,zh,False,True,LLM,,MAYBE
Carriage,Spanish,Spain,20230902T223000Z,Xóchitl against all: the challenges of the virtual winner,https://elpais.com/opinion/2023-09-02/xochitl-contra-todos-los-retos-de-la-virtual-ganadora.html,es,False,True,LLM,,MAYBE
Carriage,German,Germany,20230902T103000Z,„ Bringzone vs. Parent Taxi - Chaos vor Wildunger Primary School,https://www.hna.de/lokales/frankenberg/bad-wildungen-ort78074/bringzone-gegen-elterntaxi-chaos-vor-wildunger-grundschule-92495107.html,de,False,True,LLM,,MAYBE
Grab,Vietnamese,Vietnam,20230902T054500Z,Than Hà Lầm: Prioritizing Workers’ Welfare,https://tienphong.vn/than-ha-lam-cong-tac-cham-lo-doi-song-cong-nhan-luon-duoc-dat-len-hang-dau-post1565009.tpo,vi,False,True,LLM,,MAYBE
Delivery Club,English,Kenya,20230902T070000Z,Hail Kenya golden girls,https://www.standardmedia.co.ke/evewoman/article/2001480621/hail-kenyas-golden-girls,en,False,True,LLM,,MAYBE
Delivery Club,Spanish,Argentina,20230902T223000Z,I saw you on the court: look in the courts of the Giant of Alberdi,https://www.cadena3.com/noticia/te-vi-en-la-cancha/te-vi-en-la-cancha-buscate-en-las-tribunas-del-gigante-de-alberdi_367472,es,False,True,LLM,,MAYBE
gig economy,English,United Kingdom,20230902T004500Z,Hands off our ticket offices ! – RMT leads march to 10 Downing Street - Workers Revolutionary Party,https://wrp.org.uk/features/hands-off-our-ticket-offices-rmt-leads-march-to-10-downing-street/,en,True,False,Excel,Actions: march; Actors: Workers,NO
gig economy,English,Australia,20230902T180000Z,"Living costs , workplace reform on parliament agenda",https://www.thecourier.com.au/story/8333581/living-costs-workplace-reform-on-parliament-agenda/,en,False,True,LLM,,MAYBE
gig work,English,United States,20230902T051500Z,Autoworkers prepare to strike as UAW president offers no strategy to fight wage cutting and EV jobs massacre,https://www.wsws.org/en/articles/2023/09/02/feml-s02.html,en,True,False,Excel,"Actions: strike, wage; Actors: workers",NO
platform workers,Chinese,China,20230902T071500Z,Aid lawyers effectively collected 384 employees ' arrears,http://news.cyol.com/gb/articles/2023-09/02/content_MbNZgosKvw.html,zh,False,True,LLM,,MAYBE
platform workers,Italian,Italy,20230902T054500Z,"ITA / Judgment Cottatellucci, rejected appeal: the company responds, here is what changes",https://www.ilsussidiario.net/news/ita-sentenza-cottatellucci-ricorso-respinto-risponde-la-compagnia-ecco-cosa-cambia/2584592/,it,False,True,LLM,,MAYBE
platform workers,English,United States,20230902T063000Z,On the picket line,https://www.workers.org/2023/09/73154/,en,False,True,LLM,,MAYBE
food delivery,Portuguese,Brazil,20230902T171500Z,See what changes in the meal valley and feed with new decree,https://noticias.r7.com/economia/veja-o-que-muda-no-vale-refeicao-e-vale-alimentacao-com-novo-decreto-01092023,pt,False,True,LLM,,MAYBE
worker protest,English,United States,20230902T174500Z,SWP campaign takes working - class program to March on Washington – The Militant,https://themilitant.com/2023/09/02/swp-campaign-takes-working-class-program-to-march-on-washington/,en,False,True,LLM,,MAYBE
worker protest,English,Niger,20230902T084500Z,Warning strike : workers must be allowed to exercise their right – NLC,https://dailytrust.com/warning-strike-workers-must-be-allowed-to-exercise-their-right-nlc/,en,True,False,Excel,Actions: strike; Actors: workers,NO
Just Eat (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),English,New Zealand,20230902T041500Z,A rock and a hard place,https://www.nzgeo.com/stories/a-rock-and-a-hard-place-2/,en,False,True,LLM,,MAYBE
Just Eat (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),English,United Kingdom,20230902T083000Z,Algospeak is driving us mad,https://www.newstatesman.com/comment/2023/09/algospeak-social-media-language,en,False,True,LLM,,MAYBE
Grab  (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Spanish,Argentina,20230902T113000Z,The imposition of the bonus only adds up to long faces,https://www.lanueva.com/nota/2023-9-2-5-0-27-la-imposicion-del-bono-solo-suma-caras-largas,es,False,True,LLM,,MAYBE
Drivers (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Spanish,Mexico,20230902T133000Z,Sandra Anaya led the start of Chinelazo 2023,https://www.launion.com.mx/morelos/sociedad/noticias/234291-encabezo-sandra-anaya-el-arranque-del-chinelazo-2023.html,es,False,True,LLM,,MAYBE
Drivers (protest OR strike OR demonstration OR unrest OR riders OR drivers OR workers),Portuguese,,20230902T103000Z,App drivers are summoned for registration in Chapecó,https://ndmais.com.br/transito/motoristas-de-aplicativo-sao-convocados-para-cadastramento-em-chapeco/,pt,False,True,LLM,,MAYBE
App workers (protest OR strike OR demonstration OR unrest OR riders OR couriers OR drivers OR workers),English,Malaysia,20230902T054500Z,What lies beneath the disregard for migrant labour laws ?,https://aliran.com/thinking-allowed-online/what-lies-beneath-the-disregard-for-migrant-labour-laws,en,False,True,LLM,,MAYBE
Cabify,Spanish,Argentina,20230903T230000Z,A group of taxi drivers want Uber to regulate in Córdoba,https://www.lavoz.com.ar/ciudadanos/un-grupo-de-taxistas-quieren-que-uber-se-regule-en-cordoba/,es,False,True,LLM,,MAYBE
Cabify,Spanish,Spain,20230903T051500Z,Castelló to start a round of dialogue for the Mobility Order,https://www.elperiodicomediterraneo.com/castello/2023/09/02/castello-iniciara-ronda-dialogo-ordenanza-movilidad-patinetes-taxi-91630671.html,es,False,True,LLM,,MAYBE
Uber,English,Australia,20230903T143000Z,The Matilda collective power,https://cpa.org.au/guardian/issue-2068/the-matildas-collective-power/,en,False,True,LLM,,MAYBE
Uber,English,United States,20230903T033000Z,Labor Day : A holiday to celebrate for some but not all,https://www.wtnh.com/news/connecticut/hartford/labor-day-a-holiday-to-celebrate-for-some-but-not-all/,en,False,True,LLM,,MAYBE
Uber,English,,20230903T143000Z,TWU APPLAUDS WORLD - FIRST LEGISLATION ON GIG WORKER RIGHTS - Transport Worker Union,https://www.twu.com.au/press/twu-applauds-world-first-legislation-on-gig-worker-rights/,en,False,True,LLM,,MAYBE
Uber,English,,20230903T063000Z,Undone by Uber : When ride - sharing takes a U - turn to ride - hailing,https://www.tbsnews.net/features/panorama/undone-uber-when-ride-sharing-takes-u-turn-ride-hailing-693630,en,False,True,LLM,,MAYBE
Uber,English,United States,20230903T143000Z,"Labor Day means rallies , not barbecues , for these Southern California workers",https://www.redlandsdailyfacts.com/2023/09/03/labor-day-means-rallies-not-barbecues-for-these-southern-california-workers/,en,False,True,LLM,,MAYBE
Uber,English,Australia,20230903T040000Z,How bosses could face hefty jail time,https://www.theaustralian.com.au/breaking-news/bosses-stealing-wages-could-up-face-up-to-10-years-in-jail/news-story/462eb909610b90a31a79d189ff278a44?nk=31650d9a5f9ebef5ade65f26030dec6b-1693712798,en,False,True,LLM,,MAYBE
Uber,English,Australia,20230903T024500Z,Employers guilty of wage theft facing prospect of 10 years in jail and million - dollar fines,https://www.abc.net.au/news/2023-09-03/labor-wage-theft-jail-fine-employers-industrial-relations-change/102808596,en,False,True,LLM,,MAYBE
Zomato,English,United States,20230903T154500Z,Whatever happened to the  period day off  policy ?,https://www.tspr.org/npr-news/2023-09-03/whatever-happened-to-the-period-day-off-policy,en,False,True,LLM,,MAYBE
Just Eat,English,United States,20230903T030000Z,Service providers gather to host  Recover Out Loud,https://www.starbeacon.com/news/local_news/service-providers-gather-to-host-recover-out-loud/article_12a118d6-49ba-11ee-aab6-779cf8415f5c.html,en,False,True,LLM,,MAYBE
Just Eat,Chinese,China,20230903T084500Z,The story of a case call on the platform urging San to save lives.,https://www.minghui.org/mh/articles/2023/9/3/%E5%9C%A8%E5%B9%B3%E5%8F%B0%E4%B8%8A%E6%89%93%E4%B8%93%E6%A1%88%E7%94%B5%E8%AF%9D%E5%8A%9D%E4%B8%89%E9%80%80%E6%95%91%E4%BA%BA%E7%9A%84%E6%95%85%E4%BA%8B-464807.html,zh,False,True,LLM,,MAYBE
Just Eat,English,United States,20230903T123000Z,A  Labor of Love  like no other,http://www.renewamerica.com/columns/fournier/230902,en,False,True,LLM,,MAYBE
Ola,English,Nigeria,20230903T024500Z,"THE BIG MOVES , THE FAILED DEALS",https://punchng.com/the-big-moves-the-failed-deals/,en,False,True,LLM,,MAYBE
Carriage,Indonesian,Indonesia,20230903T050000Z,"PAN People's Hope, Hundreds of Cyclic Driver and Andong Se - Yogyakarta Support",https://www.jpnn.com/news/pan-harapan-rakyat-ratusan-pengemudi-becak-dan-andong-se-yogyakarta-memberi-dukungan,id,False,True,LLM,,MAYBE
Grab,Chinese,China,20230903T061500Z,_ time _ China Gansu Network,http://gansu.gscn.com.cn/system/2023/09/03/013018949.shtml,zh,False,True,LLM,,MAYBE
Delivery Club,Spanish,Spain,20230903T151500Z,"Antonio Davia and Eva Valera win in La Gineta, 124; News La Tribuna de Albacete",https://www.latribunadealbacete.es/noticia/z8c916b97-b5f0-3830-d7268bb010c10bf2/202309/antonio-davia-y-eva-valera-ganan-en-la-gineta,es,False,True,LLM,,MAYBE
Delivery Club,French,Tunisia,20230903T114500Z,"FTF GENERAL REGULAR ASSEMBLY: Still standing, but until when?",https://lapresse.tn/166840/assemblee-generale-ordinaire-de-la-ftf-toujours-debout-mais-jusqua-quand/,fr,False,True,LLM,,MAYBE
gig economy,English,United States,20230903T123000Z,Labor Leader Did Not Make Demands In Exchange For Early Biden Endorsement,https://news.yahoo.com/labor-leader-did-not-demands-120006335.html,en,True,False,Excel,Actions: Demand; Actors: Labor,NO
gig economy,English,United States,20230903T143000Z,"Another Voice : Red , white and blue – and timely pay too",https://buffalonews.com/opinion/another-voice-red-white-and-blue-and-timely-pay-too/article_ba751a62-4735-11ee-98ce-0fff84d8485b.html,en,False,True,LLM,,MAYBE
gig economy,English,Australia,20230903T020000Z,No  magical exemption for gig worker platforms,https://www.bunburymail.com.au/story/8333753/no-magical-exemptions-for-gig-worker-platforms/?cs=30776,en,False,True,LLM,,MAYBE
gig economy,English,United States,20230903T203000Z,Uncertain future for American workers,https://www.newsday.com/opinion/editorials/labor-day-unions-american-workers-ups-contract-ijy7ye2r,en,False,True,LLM,,MAYBE
gig economy,English,Australia,20230903T151500Z,Labour rorts in Labor sights as the Albanese government prepares to table major workplace reforms | The Area News,https://www.areanews.com.au/story/8334140/labour-rorts-in-labors-sights-as-government-prepares-to-table-major-workplace-reforms/?cs=9307,en,False,True,LLM,,MAYBE
gig economy,English,United States,20230903T030000Z,"No  Magical Exemption for Gig Worker Platforms , Says Minister",https://www.theepochtimes.com/world/no-magical-exemptions-for-gig-worker-platforms-says-minister-5485594,en,False,True,LLM,,MAYBE
gig economy,English,Australia,20230903T233000Z,Govt takes aim at labour hire  double standard,https://www.sconeadvocate.com.au/story/8334321/govt-takes-aim-at-labour-hire-double-standard/?cs=9676,en,False,True,LLM,,MAYBE
gig economy,English,United States,20230903T210000Z,"Why Hollywood labor nightmare wont end soon : frustration , fear and mistrust",https://www.adn.com/arts/2023/09/03/why-hollywoods-labor-nightmare-wont-end-soon-frustration-fear-and-mistrust/,en,False,True,LLM,,MAYBE
gig economy,English,United States,20230903T223000Z,"Labour Hire Change Targets 67 , 000 Underpaid Workers",https://www.theepochtimes.com/world/labour-hire-change-targets-67000-underpaid-workers-5485761,en,False,True,LLM,,MAYBE
gig economy,English,United Kingdom,20230903T164500Z,"Australian government to close labour hire loophole to help 67 , 000 workers being  ripped off  by employers | Industrial relations",https://www.theguardian.com/australia-news/2023/sep/04/australian-government-to-close-labour-hire-loophole-to-help-67000-workers-being-ripped-off-by-employers,en,True,False,Excel,"Actions: trial; Actors: labour, workers",NO
gig economy,English,United Kingdom,20230903T033000Z,Australian employers who deliberately underpay workers to face million - dollar fines or up to 10 years in jail,https://www.theguardian.com/australia-news/2023/sep/03/employers-deliberately-underpaying-workers-to-face-million-dollar-fines-or-up-to-10-years-in-jail,en,True,False,Excel,Actions: pay; Actors: workers,NO
gig work,English,United States,20230903T230000Z,Tag : relationships – NBC10 Philadelphia,https://www.nbcphiladelphia.com/tag/relationships/,en,False,True,LLM,,MAYBE
platform labour,English,Vietnam,20230903T141500Z,Migrant workers issues – Talk Vietnam,https://www.talkvietnam.com/tag/migrant-workers-issues/,en,True,False,Excel,Actions: sue; Actors: workers,NO
platform labour,English,Vietnam,20230903T141500Z,Migrant workers health issues – Talk Vietnam,https://www.talkvietnam.com/tag/migrant-workers-health-issues/,en,True,False,Excel,Actions: sue; Actors: workers,NO
platform labour,English,Vietnam,20230903T141500Z,Issues migrant workers face in singapore – Talk Vietnam,https://www.talkvietnam.com/tag/issues-migrant-workers-face-in-singapore/,en,True,False,Excel,Actions: sue; Actors: workers,NO
